"V1","rpt.id","rpt.contents","info.tp","info.tit","occ.dtime","reg.dtime","end.dtime","start.pos.x","start.pos.y","end.pos.x","end.pos.y"
"15","01149314","한남대교 (북단 → 남단) 중간지점 5차로 승용차끼리 추돌사고로 또 다른 사고위험","A1","단순사고","2014-06-15","17:03","2014-06-15",127.011696,37.528325,127.012712,37.527261
"16","01149313","[행사안내] “세종대로 보행전용거리” 행사로 광화문3거리에서 세종로4거리방면이 전면통제되고 있으니 참고하시기 바랍니다. (이 통제는 오늘 저녁 7시까지 예정)","B2","행사/집회","2014-06-15","17:02","2014-06-15",126.976641,37.574265,0,0
"17","01149312","중부내륙고속도로 (마산 → 양평) 상주터널부근 1차로에 있었던 승용차관련 추돌사고 처리작업 완료, 여파로 3Km구간 정체, 여주분기점부근 6Km구간 차량증가로 정체","A1","단순사고","2014-06-15","17:02","2014-06-15",128.225374,36.298518,0,0
"18","01149311","서부간선도로 안양방면 (양평교 → 오목교) 차량증가로 정체,서행, 반대방면 (오목교 → 목동교) 차량증가로 정체,서행","A4","단순정보","2014-06-15","16:58","2014-06-15",126.890292,37.531127,126.890292,37.531127
"19","01149310","동부간선도로 성수대교방면 (상계교 → 녹천교) 차량증가로 정체, 반대방면 (한천교 → 창동교) 차량증가로 정체","A4","단순정보","2014-06-15","16:57","2014-06-15",127.055165,37.652209,127.055165,37.652209
"20","01149309","북부간선도로 종암분기점방면 (구리나들목 → 구리시계, 월릉램프 → 하월곡램프) 차량증가로 정체","A4","단순정보","2014-06-15","16:57","2014-06-15",127.068826,37.615331,127.068826,37.615331
"21","01149308","올림픽대로 공항방면 (영동대교 → 반포대교) 차량증가로 정체,서행","A4","단순정보","2014-06-15","16:57","2014-06-15",127.015943,37.524102,127.015943,37.524102
"22","01149307","내부순환로 성수대교방면 (연희램프 → 홍지문터널) 차량증가로 정체","A4","단순정보","2014-06-15","16:56","2014-06-15",127.000146,37.608403,127.000146,37.608403
"23","01149306","강변북로 (일산 → 구리) 성산대교 조금 못 간 지점 2차로 승용차끼리 추돌사고로 난지나들목부터 정체, (워효대교 → 동작대교) 차량증가로 서행, 반대방면 (한남대교 → 반포대교, 원효대교 → 양화대교) 차량증가로 정체,서행","A1","단순사고","2014-06-15","16:56","2014-06-15",126.891098,37.560033,126.892983,37.55822
"37","01149292","서울-춘천간고속도로 서울방면 (남춘천나들목 → 강촌나들목, 가평휴게소 → 서종나들목) 차량증가로 정체","A4","단순정보","2014-06-15","16:47","2014-06-15",127.493865,37.66615,127.493865,37.66615
"38","01149291","중부내륙고속도로 (마산 → 양평) 상주터널부근 1차로 승용차관련 추돌사고 처리작업으로 또 다른 사고위험, 여주분기점부근 2Km구간 차량증가로 정체","A1","단순사고","2014-06-15","16:46","2014-06-15",128.225374,36.298518,128.222976,36.306967
"39","01149290","천안-논산간고속도로 천안방면 (정우터널 → 정안휴게소) 차량증가로 정체","A4","단순정보","2014-06-15","16:45","2014-06-15",127.104076,36.50312,127.104076,36.50312
"40","01149289","영동고속도로 강릉방면 (봉평터널 → 둔내터널, 문막나들목부근 3Km구간, 여주나들목 → 이천나들목, 동수원나들목 → 광교터널) 차량증가로 정체","A4","단순정보","2014-06-15","16:45","2014-06-15",127.494914,37.245469,127.494914,37.245469
"41","01149288","중부고속도로 (남이 → 하남) 일죽나들목부근 1Km구간과 중부3터널부근 차량증가로 정체","A4","단순정보","2014-06-15","16:43","2014-06-15",127.266279,37.449066,127.266279,37.449066
"42","01149287","서해안고속도로 서울방면 (당진나들목 → 서평택분기점, 금천나들목부근 2Km구간) 차량증가로 정체","A4","단순정보","2014-06-15","16:43","2014-06-15",126.895952,37.428197,126.895952,37.428197
"43","01149286","서울외곽순환고속도로 일산에서 판교방면 (계양나들목 → 중동나들목) 차량증가로 정체","A4","단순정보","2014-06-15","16:42","2014-06-15",126.75153,37.524394,126.75153,37.524394
"44","01149285","경부고속도로 서울방면 (청원휴게소부근 4Km구간, 입장휴게소 → 안성휴게소, 양재나들목 → 반포나들목) 차량증가로 정체, 반대방면 (한남나들목 → 서초나들목) 차량증가로 정체","A4","단순정보","2014-06-15","16:42","2014-06-15",127.025085,37.486203,127.025085,37.486203
"45","01149284","[행사안내] “세종대로 보행전용거리” 행사로 광화문3거리에서 세종로4거리방면이 전면통제되고 있으니 참고하시기 바랍니다. (이 통제는 오늘 저녁 7시까지 예정)","B2","행사/집회","2014-06-15","16:40","2014-06-15",126.976641,37.574265,0,0
"46","01149283","강남대로 (강남역 → 논현역) 논현역4거리 조금 못 간 지점 3,4차로 막고 건물보수공사를 하고있으니 주의운전 바랍니다.","B1","공사","2014-06-15","16:37","2014-06-15",127.023384,37.507108,0,0
"47","01149282","서부간선도로 안양방면 (양평교 → 오목교) 차량증가로 정체,서행, 반대방면 (오목교 → 목동교) 차량증가로 정체,서행","A4","단순정보","2014-06-15","16:37","2014-06-15",126.890292,37.531127,126.890292,37.531127
"48","01149281","동부간선도로 성수대교방면 (노원교 → 녹천교) 차량증가로 정체, 반대방면 (한천교 → 창동교) 차량증가로 정체","A4","단순정보","2014-06-15","16:37","2014-06-15",127.055165,37.652209,127.055165,37.652209
"49","01149280","북부간선도로 종암분기점방면 (구리나들목 → 구리시계, 묵동나들목 → 하월곡램프) 차량증가로 정체","A4","단순정보","2014-06-15","16:36","2014-06-15",127.068826,37.615331,127.068826,37.615331
"50","01149279","올림픽대로 공항방면 (청담대교 → 반포대교) 차량증가로 정체,서행, 반대방면 (성수대교 → 영동대교) 차량증가로 서행","A4","단순정보","2014-06-15","16:36","2014-06-15",127.015943,37.524102,127.015943,37.524102
"51","01149278","강변북로 일산방면 (한남대교 → 반포대교, 마포대교 → 양화대교) 차량증가로 정체,서행, 반대방면 (마포대교 → 동작대교) 차량증가로 서행","A4","단순정보","2014-06-15","16:36","2014-06-15",126.981735,37.516228,126.981735,37.516228
"52","01149277","내부순환로 성산대교방면 (길음램프 → 정릉터널) 차량증가로 서행, 반대방면 (연희램프 → 홍지문터널) 차량증가로 정체,서행","A4","단순정보","2014-06-15","16:35","2014-06-15",127.000146,37.608403,127.000146,37.608403
"64","01149265","[행사안내] “세종대로 보행전용거리” 행사로 광화문3거리에서 세종로4거리방면이 전면통제되고 있으니 참고하시기 바랍니다. (이 통제는 오늘 저녁 7시까지 예정)","B2","행사/집회","2014-06-15","16:22","2014-06-15",126.976641,37.574265,0,0
"65","01149264","범안로 (말미4거리 → 독산4동4거리) 2차로 승용차끼리 추돌사고로 또 다른 사고위험","A1","단순사고","2014-06-15","16:17","2014-06-15",126.897747,37.466461,126.900791,37.466387
"66","01149263","서부간선도로 안양방면 (양평교 → 오목교) 차량증가로 정체,서행, 반대방면 (신정교 → 목동교) 차량증가로 정체,서행","A4","단순정보","2014-06-15","16:16","2014-06-15",126.890292,37.531127,126.890292,37.531127
"67","01149262","동부간선도로 성수대교방면 (노원교 → 녹천교) 차량증가로 정체, 반대방면 (한천교 → 창동교) 차량증가로 정체","A4","단순정보","2014-06-15","16:16","2014-06-15",127.055165,37.652209,127.055165,37.652209
"68","01149261","북부간선도로 종암분기점방면 (구리나들목 → 구리시계, 묵동나들목 → 하월곡램프) 차량증가로 정체","A4","단순정보","2014-06-15","16:16","2014-06-15",127.068826,37.615331,127.068826,37.615331
"69","01149260","올림픽대로 공항방면 (청담대교 → 반포대교) 차량증가로 정체,서행","A4","단순정보","2014-06-15","16:15","2014-06-15",127.015943,37.524102,127.015943,37.524102
"70","01149259","강변북로 일산방면 (한남대교 → 반포대교, 서강대교 → 양화대교) 차량증가로 정체,서행, 반대방면 (한강대교 → 동작대교) 차량증가로 서행","A4","단순정보","2014-06-15","16:15","2014-06-15",126.981735,37.516228,126.981735,37.516228
"71","01149258","내부순환로 성산대교방면 (길음램프 → 정릉터널) 차량증가로 서행, 반대방면 (홍제램프 → 홍지문터널) 차량증가로 정체","A4","단순정보","2014-06-15","16:15","2014-06-15",127.000146,37.608403,127.000146,37.608403
"73","01149256","서울-춘천간고속도로 서울방면 (남춘천나들목 → 강촌나들목, 가평휴게소 → 설악나들목, 서종나들목부근 5Km구간) 차량증가로 정체","A4","단순정보","2014-06-15","16:12","2014-06-15",127.493865,37.66615,127.493865,37.66615
"74","01149255","중부내륙고속도로 (마산 → 양평) 만정터널부근 2차로에 있었던 승용차관련 추돌사고 처리작업 완료, 정상소통, 여주분기점부근 2Km구간 차량증가로 정체","A1","단순사고","2014-06-15","16:12","2014-06-15",127.66677,37.125608,127.847184,36.976152
"75","01149254","천안-논산간고속도로 천안방면 (정우터널 → 정안휴게소) 차량증가로 정체","A4","단순정보","2014-06-15","16:12","2014-06-15",127.104076,36.50312,127.104076,36.50312
"76","01149253","영동고속도로 강릉방면 (면온나들목 → 둔내터널, 문막나들목부근 3Km구간, 여주나들목 → 호법분기점) 차량증가로 정체","A4","단순정보","2014-06-15","16:11","2014-06-15",127.494914,37.245469,127.494914,37.245469
"77","01149252","중부고속도로 (남이 → 하남) 일죽나들목부근 1Km구간 차량증가로 정체","A4","단순정보","2014-06-15","16:10","2014-06-15",127.266279,37.449066,127.266279,37.449066
"78","01149251","서해안고속도로 서울방면 (당진나들목 → 서평택분기점, 일직분기점 → 금천나들목) 차량증가로 정체","A4","단순정보","2014-06-15","16:10","2014-06-15",126.895952,37.428197,126.895952,37.428197
"79","01149250","서울외곽순환고속도로 일산에서 판교방면 (계양나들목 → 중동나들목) 차량증가로 정체","A4","단순정보","2014-06-15","16:10","2014-06-15",126.75153,37.524394,126.75153,37.524394
"80","01149249","경부고속도로 서울방면 (청원휴게소 → 수신정류장, 안성나들목 → 안성휴게소, 동탄분기점 → 기흥동탄나들목, 양재나들목 → 서초나들목) 차량증가로 정체, 반대방면 (한남나들목 → 서초나들목) 차량증가로 정체","A4","단순정보","2014-06-15","16:09","2014-06-15",127.025085,37.486203,127.025085,37.486203
"81","01149248","[집회안내] 독립공원를 출발한 집회 참가자들이 도착장소인 서울광장에 모두 도착을 하였습니다. 차량통행에 지장없으니 참고하시기 바랍니다.","B2","행사/집회","2014-06-15","16:07","2014-06-15",126.977179,37.564768,126.977297,37.565674
"82","01149247","[행사안내] “세종대로 보행전용거리” 행사로 광화문3거리에서 세종로4거리방면이 전면통제되고 있으니 참고하시기 바랍니다. (이 통제는 오늘 저녁 7시까지 예정)","B2","행사/집회","2014-06-15","16:02","2014-06-15",126.976641,37.574265,0,0
"83","01149246","능동로 (건대입구역 → 어린이대공원역) 어린이대공원역 조금 못 간 지점 3차로 택시,승용차 추돌사고로 또 다른 사고위험","A1","단순사고","2014-06-15","15:57","2014-06-15",127.070673,37.539888,127.07401,37.546892
"84","01149245","서부간선도로 안양방면 (양평교 → 오목교) 차량증가로 정체,서행, 반대방면 (신정교 → 오목교) 차량증가로 정체,서행","A4","단순정보","2014-06-15","15:55","2014-06-15",126.890292,37.531127,126.890292,37.531127
"85","01149244","동부간선도로 성수대교방면 (노원교 → 녹천교) 차량증가로 정체, 반대방면 (한천교 → 창동교) 차량증가로 정체","A4","단순정보","2014-06-15","15:55","2014-06-15",127.055165,37.652209,127.055165,37.652209
"86","01149243","북부간선도로 종암분기점방면 (구리나들목 → 구리시계, 묵동나들목 → 하월곡램프) 차량증가로 정체","A4","단순정보","2014-06-15","15:55","2014-06-15",127.068826,37.615331,127.068826,37.615331
"87","01149242","올림픽대로 공항방면 (영동대교 → 반포대교) 차량증가로 정체,서행, 반대방면 (한남대교 → 동호대교) 차량증가로 정체","A4","단순정보","2014-06-15","15:54","2014-06-15",127.015943,37.524102,127.015943,37.524102
"88","01149241","강변북로 일산방면 (동호대교 → 반포대교, 마포대교 → 양화대교) 차량증가로 정체,서행, 반대방면 (한강대교 → 동작대교) 차량증가로 서행","A4","단순정보","2014-06-15","15:54","2014-06-15",126.981735,37.516228,126.981735,37.516228
"89","01149240","내부순환로 성산대교방면 (길음램프 → 정릉터널) 차량증가로 서행, 반대방면 (홍은램프 → 홍지문터널) 차량증가로 정체","A4","단순정보","2014-06-15","15:54","2014-06-15",127.000146,37.608403,127.000146,37.608403
"90","01149239","[집회안내] 독립공원에서 집회를 마친 참가자들이 행진을 하고 있습니다. 서소문로 경찰청4거리에서 서울광장방면으로 이동하고 있으니 서소문로 등 주변도로 이용에 참고하시기 바랍니다. (행진 : 독립공원 → 서대문역 → 서소문로 → 서울광장)","B2","행사/집회","2014-06-15","15:52","2014-06-15",126.971683,37.562467,126.973031,37.562744
"102","01149227","서울-춘천간고속도로 서울방면 (남춘천나들목 → 강촌나들목, 설악나들목부근 6Km구간, 서종나들목부근 3Km구간) 차량증가로 정체","A4","단순정보","2014-06-15","15:43","2014-06-15",127.493865,37.66615,127.493865,37.66615
"103","01149226","중부내륙고속도로 (마산 → 양평) 만정터널부근 2차로 승용차관련 추돌사고 처리작업으로 또 다른 사고위험, 여주분기점부근 2Km구간 차량증가로 정체","A1","단순사고","2014-06-15","15:42","2014-06-15",127.66677,37.125608,127.847179,36.953475
"104","01149225","천안-논산간고속도로 천안방면 (정안휴게소 → 정안나들목) 차량증가로 정체","A4","단순정보","2014-06-15","15:41","2014-06-15",127.104076,36.50312,127.104076,36.50312
"105","01149224","영동고속도로 강릉방면 (면온나들목 → 둔내터널, 강천터널 → 호법분기점) 차량증가로 정체","A4","단순정보","2014-06-15","15:40","2014-06-15",127.494914,37.245469,127.494914,37.245469
"106","01149223","중부고속도로 (남이 → 하남) 일죽나들목부근 1Km구간과 광주나들목부근 차량증가로 정체","A4","단순정보","2014-06-15","15:40","2014-06-15",127.266279,37.449066,127.266279,37.449066
"107","01149222","서해안고속도로 서울방면 (당진나들목 → 서평택분기점, 일직분기점 → 금천나들목) 차량증가로 정체","A4","단순정보","2014-06-15","15:39","2014-06-15",126.895952,37.428197,126.895952,37.428197
"108","01149221","[행사안내] “세종대로 보행전용거리” 행사로 광화문3거리에서 세종로4거리방면이 전면통제되고 있으니 참고하시기 바랍니다. (이 통제는 오늘 저녁 7시까지 예정)","B2","행사/집회","2014-06-15","15:39","2014-06-15",126.976641,37.574265,0,0
"109","01149220","경부고속도로 서울방면 (청원휴게소 → 수신정류장, 안성나들목 → 안성휴게소, 동탄분기점 → 기흥동탄나들목, 양재나들목 → 서초나들목) 차량증가로 정체, 반대방면 (한남나들목 → 서초나들목) 차량증가로 정체","A4","단순정보","2014-06-15","15:39","2014-06-15",127.025085,37.486203,127.025085,37.486203
"110","01149219","[집회안내] 독립공원에서 집회를 마친 참가자들이 행진을 하고 있습니다. 통일로 서대문4거리에서 경찰청4거리방면으로 이동하고 있으니 통일로 등 주변도로 이용에 참고하시기 바랍니다. (행진 : 독립공원 → 서대문역 → 서소문로 → 서울광장)","B2","행사/집회","2014-06-15","15:37","2014-06-15",126.959684,37.572592,0,0
"111","01149218","서부간선도로 안양방면 (양평교 → 오목교) 차량증가로 정체,서행, 반대방면 (광명대교 → 오금교) 차량증가로 정체,서행","A4","단순정보","2014-06-15","15:36","2014-06-15",126.890292,37.531127,126.890292,37.531127
"112","01149217","동부간선도로 성수대교방면 (상계교 → 녹천교) 차량증가로 정체, 반대방면 (한천교 → 창동교) 차량증가로 정체","A4","단순정보","2014-06-15","15:36","2014-06-15",127.055165,37.652209,127.055165,37.652209
"113","01149216","북부간선도로 구리방면 (묵동나들목 → 구리시계) 차량증가로 정체,서행, 반대방면 (구리나들목 → 구리시계, 묵동나들목 → 하월곡램프) 차량증가로 정체","A4","단순정보","2014-06-15","15:36","2014-06-15",127.068826,37.615331,127.068826,37.615331
"114","01149215","올림픽대로 공항방면 (영동대교 → 반포대교) 차량증가로 정체,서행","A4","단순정보","2014-06-15","15:35","2014-06-15",127.015943,37.524102,127.015943,37.524102
"115","01149214","강변북로 일산방면 (동호대교 → 반포대교, 마포대교 → 양화대교) 차량증가로 정체,서행, 반대방면 (한강대교 → 동작대교) 차량증가로 서행","A4","단순정보","2014-06-15","15:35","2014-06-15",126.981735,37.516228,126.981735,37.516228
"116","01149213","내부순환로 성산대교방면 (길음램프 → 정릉터널) 차량증가로 서행, 반대방면 (홍은램프 → 홍지문터널) 차량증가로 정체","A4","단순정보","2014-06-15","15:34","2014-06-15",127.000146,37.608403,127.000146,37.608403
"129","01149200","[집회안내] 독립공원에서 집회를 마친 참가자들이 행진을 시작하였습니다. 통일로 독립문4거리에서 서대문4거리방면으로 이동하고 있으니 통일로 등 주변도로 이용에 참고하시기 바랍니다. (행진 : 독립공원 → 서대문역 → 서소문로 → 서울광장)","B2","행사/집회","2014-06-15","15:18","2014-06-15",126.959684,37.572592,0,0
"130","01149199","강남대로 (강남역 → 논현역) 논현역4거리 조금 못 간 지점 3,4차로 막고 건물보수공사를 하고있으니 주의운전 바랍니다.","B1","공사","2014-06-15","15:17","2014-06-15",127.023384,37.507108,0,0
"131","01149198","서부간선도로 안양방면 (양평교 → 오목교) 차량증가로 정체,서행, 반대방면 (광명대교 → 성산대교) 차량증가로 정체,서행","A4","단순정보","2014-06-15","15:16","2014-06-15",126.890292,37.531127,126.890292,37.531127
"132","01149197","동부간선도로 성수대교방면 (창동교 → 녹천교) 차량증가로 정체, 반대방면 (한천교 → 창동교) 차량증가로 정체","A4","단순정보","2014-06-15","15:15","2014-06-15",127.055165,37.652209,127.055165,37.652209
"133","01149196","영동고속도로 강릉방면 (면온나들목 → 둔내터널, 강천터널 → 호법분기점) 차량증가로 정체","A4","단순정보","2014-06-15","15:15","2014-06-15",127.494914,37.245469,127.494914,37.245469
"134","01149195","북부간선도로 구리방면 (묵동나들목 → 구리시계) 차량증가로 정체,서행, 반대방면 (묵동나들목 → 하월곡램프) 차량증가로 정체","A4","단순정보","2014-06-15","15:15","2014-06-15",127.068826,37.615331,127.068826,37.615331
"135","01149194","올림픽대로 공항방면 (성수대교 → 반포대교) 차량증가로 정체,서행","A4","단순정보","2014-06-15","15:15","2014-06-15",127.015943,37.524102,127.015943,37.524102
"136","01149193","강변북로 일산방면 (동작대교 → 한강대교) 1차로에 있었던 시설물보수작업 종료, 여파로 성수대교부터 정체, (서강대교 → 양화대교) 차량증가로 정체,서행, 반대방면 (한강대교 → 동작대교) 차량증가로 정체,서행","B1","공사","2014-06-15","15:14","2014-06-15",126.981735,37.516228,0,0
"137","01149192","서해안고속도로 서울방면 (당진나들목 → 서평택분기점, 일직분기점 → 금천나들목) 차량증가로 정체","A4","단순정보","2014-06-15","15:14","2014-06-15",126.895952,37.428197,126.895952,37.428197
"138","01149191","내부순환로 성산대교방면 (길음램프 → 정릉터널) 차량증가로 서행","A4","단순정보","2014-06-15","15:14","2014-06-15",127.000146,37.608403,127.000146,37.608403
"139","01149189","경부고속도로 서울방면 (수신정류장부근 1Km구간, 안성분기점 → 안성휴게소, 동탄분기점 → 기흥동탄나들목, 양재나들목 → 서초나들목) 차량증가로 정체, 반대방면 (한남나들목 → 서초나들목) 차량증가로 정체","A4","단순정보","2014-06-15","15:14","2014-06-15",127.025085,37.486203,127.025085,37.486203
"141","01149187","[행사안내] “세종대로 보행전용거리” 행사로 광화문3거리에서 세종로4거리방면이 전면통제되고 있으니 참고하시기 바랍니다. (이 통제는 오늘 저녁 7시까지 예정)","B2","행사/집회","2014-06-15","15:00","2014-06-15",126.976641,37.574265,0,0
"142","01149186","서부간선도로 안양방면 (목동교 → 오목교) 차량증가로 정체,서행, 반대방면 (고척교 → 성산대교) 차량증가로 정체,서행","A4","단순정보","2014-06-15","14:56","2014-06-15",126.890292,37.531127,126.890292,37.531127
"143","01149185","동부간선도로 성수대교방면 (창동교 → 녹천교) 차량증가로 정체, 반대방면 (월계1교 → 녹천교) 차량증가로 정체","A4","단순정보","2014-06-15","14:56","2014-06-15",127.055165,37.652209,127.055165,37.652209
"144","01149184","북부간선도로 구리방면 (신내나들목 → 구리시계) 차량증가로 서행, 반대방면 (묵동나들목 → 하월곡램프) 차량증가로 정체","A4","단순정보","2014-06-15","14:56","2014-06-15",127.068826,37.615331,127.068826,37.615331
"145","01149183","올림픽대로 공항방면 (성수대교 → 반포대교) 차량증가로 정체,서행","A4","단순정보","2014-06-15","14:55","2014-06-15",127.015943,37.524102,127.015943,37.524102
"146","01149182","강변북로 일산방면 (동작대교 → 한강대교) 1차로 시설물보수작업으로 동호대교부터 정체, (서강대교 → 양화대교) 차량증가로 정체,서행, 반대방면 (원효대교 → 동작대교) 차량증가로 정체,서행","B1","공사","2014-06-15","14:55","2014-06-15",126.981735,37.516228,0,0
"147","01149181","내부순환로 성산대교방면 (길음램프 → 정릉터널) 차량증가로 서행","A4","단순정보","2014-06-15","14:55","2014-06-15",127.000146,37.608403,127.000146,37.608403
"148","01149180","경부고속도로 (부산 → 서울) 동탄분기점 1Km 지난 지점 갓길 승용차,승합차 접촉사고로 정체","A1","단순사고","2014-06-15","14:54","2014-06-15",127.083622,37.145395,127.095427,37.185112
"149","01149179","서울-춘천간고속도로 서울방면 (남춘천나들목 → 강촌나들목, 설악나들목부근 6Km구간, 서종나들목부근 3Km구간) 차량증가로 정체","A4","단순정보","2014-06-15","14:51","2014-06-15",127.493865,37.66615,127.493865,37.66615
"150","01149178","영동고속도로 강릉방면 (면온나들목 → 둔내터널, 여주나들목부근 2Km구간, 여주분기점 → 호법분기점) 차량증가로 정체","A4","단순정보","2014-06-15","14:51","2014-06-15",127.494914,37.245469,127.494914,37.245469
"151","01149177","서해안고속도로 서울방면 (당진나들목 → 서평택분기점, 매송나들목 → 용담터널, 일직분기점 → 금천나들목) 차량증가로 정체","A4","단순정보","2014-06-15","14:50","2014-06-15",126.895952,37.428197,126.895952,37.428197
"152","01149176","경부고속도로 서울방면 (동탄분기점 → 기흥동탄나들목, 양재나들목 → 서초나들목) 차량증가로 정체, 반대방면 (한남나들목 → 서초나들목) 차량증가로 정체","A4","단순정보","2014-06-15","14:50","2014-06-15",127.025085,37.486203,127.025085,37.486203
"153","01149175","장충단로 (광희동4거리 → 장충체육관앞4거리) 양방면 소통원활","A4","단순정보","2014-06-15","14:49","2014-06-15",127.007026,37.563879,127.007026,37.563879
"154","01149173","강변북로 구리방면 (원효대교 → 한강대교) 차량증가로 정체","A4","단순정보","2014-06-15","14:48","2014-06-15",126.953046,37.527566,126.953046,37.527566
"155","01149172","봉은사로 봉은사3거리 신호등고장으로 각 방면 사고위험","A4","단순정보","2014-06-15","14:45","2014-06-15",127.056239,37.513546,127.056251,37.513525
"156","01149171","종로 (1가 → 5가) 4가 150m 못 간 지점 2,3차로 승용차,버스 접촉사고로 또 다른 사고위험","A1","단순사고","2014-06-15","14:41","2014-06-15",126.995099,37.570435,126.996394,37.570515
"157","01149174","[행사안내] “세종대로 보행전용거리” 행사로 광화문3거리에서 세종로4거리방면이 전면통제되고 있으니 참고하시기 바랍니다. (이 통제는 오늘 저녁 7시까지 예정)","B2","행사/집회","2014-06-15","14:49","2014-06-15",126.976641,37.574265,0,0
"158","01149170","성산로 (연세대앞3거리 → 금화터널) 금화터널안 1차로 승용차 2대 고장으로 서 있어 정체","A1","단순사고","2014-06-15","14:39","2014-06-15",126.948915,37.568844,126.951631,37.570095
"159","01149169","성산대교 (남단 → 북단) 중간지점에 있었던 승합차,승용차 추돌사고 처리작업 완료, 여파로 서부간선도로 신정교 이전부터 정체","A1","단순사고","2014-06-15","14:37","2014-06-15",126.888378,37.547622,0,0
"160","01149168","동부간선도로 성수대교방면 (상계교 → 녹천교) 차량증가로 정체, 반대방면 (월계1교 → 녹천교) 차량증가로 정체","A4","단순정보","2014-06-15","14:37","2014-06-15",127.055165,37.652209,127.055165,37.652209
"161","01149167","북부간선도로 구리방면 (묵동나들목 → 구리시계) 차량증가로 정체, 반대방면 (묵동나들목 → 하월곡램프) 차량증가로 정체","A4","단순정보","2014-06-15","14:37","2014-06-15",127.068826,37.615331,127.068826,37.615331
"162","01149166","올림픽대로 공항방면 (영동대교 → 반포대교) 차량증가로 정체,서행","A4","단순정보","2014-06-15","14:36","2014-06-15",127.015943,37.524102,127.015943,37.524102
"163","01149165","강변북로 일산방면 (동작대교 → 한강대교) 1차로 시설물보수작업으로 한남대교부터 정체, (마포대교 → 양화대교) 차량증가로 정체,서행, 반대방면 (원효대교 → 동작대교) 차량증가로 정체,서행","B1","공사","2014-06-15","14:35","2014-06-15",126.981735,37.516228,126.979756,37.516217
"164","01149164","내부순환로 성산대교방면 (정릉램프 → 정릉터널) 차량증가로 서행","A4","단순정보","2014-06-15","14:34","2014-06-15",127.000146,37.608403,127.000146,37.608403
"165","01149163","서울외곽순환고속도로 (일산 → 판교) 학의분기점부근 3,4차로에 있었던 화물차관련 추돌사고 처리작업 완료, 정상소통","A1","단순사고","2014-06-15","14:31","2014-06-15",126.961558,37.38076,0,0
